% Title: HIV, All Species
% Creator: Neena Parikh
%
@RELATION infection

@ATTRIBUTE class {Control,GDS3309,GDS3257,GDS3101,GDS3054,GDS2966,GDS2491,GDS2490,GDS2489,GDS1312}
@ATTRIBUTE TFAP2A NUMERIC
@ATTRIBUTE MKI67 NUMERIC
@ATTRIBUTE TGFA NUMERIC
@ATTRIBUTE SFTPB NUMERIC
@ATTRIBUTE HIST2H4B NUMERIC
@ATTRIBUTE TIMP3 NUMERIC
@ATTRIBUTE TRAPPC10 NUMERIC
@ATTRIBUTE TNFRSF25 NUMERIC

@DATA
GDS2489,3187.966,1951.466,169.134,452.234,3187.966,358.534,669.434,1951.466
GDS2489,4200.266,1567.966,502.834,526.834,4200.266,602.334,557.934,1567.966
GDS2489,3746.066,1203.666,253.534,556.634,3746.066,552.034,559.534,1203.666
GDS2489,1584.266,3428.366,87.534,574.934,1584.266,426.634,434.234,3428.366
GDS2489,1764.766,4349.366,359.834,686.234,1764.766,441.634,441.634,4349.366
GDS2489,2964.566,3489.466,91.534,521.934,2964.566,221.134,705.734,3489.466
GDS2489,2508.066,2866.466,75.966,609.634,2508.066,519.734,716.334,2866.466
Control,432.941,435.09,432.622,438.139,432.622,432.622,437.202,435.09
Control,433.335,434.956,432.582,437.864,432.582,432.582,437.063,434.956
Control,433.368,434.921,432.856,437.701,432.856,432.856,437.294,434.921
Control,433.602,435.238,432.592,437.68,432.592,432.592,437.321,435.238
Control,434.227,436.036,432.656,437.415,432.656,432.656,437.257,436.036
GDS1312,434.573,433.604,434.404,437.431,433.604,434.404,435.657,433.604
GDS1312,433.894,433.11,433.768,437.399,433.11,433.768,435.482,433.11
GDS1312,433.674,433.897,433.6,437.899,433.6,433.6,435.967,433.897
GDS1312,435.025,434.356,435.177,438.157,434.356,435.025,436.426,434.356
GDS1312,435.912,433.961,435.923,437.197,433.961,435.912,435.88,433.961
