% Title: HIV, All Species Singlenet
% Creator: Neena Parikh
%
@RELATION infection

@ATTRIBUTE class {Control,Infected}
@ATTRIBUTE TPM1 NUMERIC
@ATTRIBUTE PAK2 NUMERIC
@ATTRIBUTE MMP11 NUMERIC
@ATTRIBUTE MYO10 NUMERIC
@ATTRIBUTE RHEB NUMERIC
@ATTRIBUTE OBSL1 NUMERIC
@ATTRIBUTE CAMSAP1 NUMERIC
@ATTRIBUTE MLLT4 NUMERIC
@ATTRIBUTE CALM3 NUMERIC
@ATTRIBUTE N4BP2L1 NUMERIC
@ATTRIBUTE COL11A1 NUMERIC
@ATTRIBUTE FLT1 NUMERIC
@ATTRIBUTE RPS14 NUMERIC
@ATTRIBUTE WWC1 NUMERIC
@ATTRIBUTE MBP NUMERIC
@ATTRIBUTE GSN NUMERIC
@ATTRIBUTE HIST1H2BC NUMERIC
@ATTRIBUTE SIPA1L3 NUMERIC
@ATTRIBUTE DCAF7 NUMERIC
@ATTRIBUTE CD44 NUMERIC
@ATTRIBUTE MEG3 NUMERIC

@DATA
Infected,25671.45,22848.45,23092.25,27831.05,21523.45,22848.45,21523.45,23244.45,12830.55,22848.45,22064.45,16380.25,22064.45,26845.75,12830.55,27442.65,12830.55,23244.45,12898.85,21651.95,25671.45
Infected,26743.95,26331.05,22592.35,26089.05,20127.45,26089.05,20127.45,23676.25,10254.85,26331.05,24938.95,21202.75,24938.95,27313.45,10254.85,28241.85,10254.85,23676.25,8944.45,25084.05,25496.55
Infected,26843.95,27089.65,24259.75,28134.35,22253.75,27598.35,22253.75,28484.05,14682.55,27598.35,27315.75,23313.95,24329.05,27478.75,14682.55,28594.25,14682.55,28484.05,13613.05,24531.55,25211.55
Control,33282.6,33864.5,33991.8,33782.9,33433.2,33433.2,33953.9,31924.7,33666.9,33907,33740.9,33227.5,33977.4,33132.6,28427,33282.6,34026.8,34026.8,28427,33923.8,30913.3
Control,33011.2,33670.5,34019.3,33670.5,33616.2,33616.2,33831.3,29233.1,33399.3,33860.1,33501,33492.3,34015.9,33490.5,28158.6,33011.2,34017,34017,28158.6,33951.6,33399.3
Infected,33231.7,33851.5,33970.4,33654.6,33357.2,33357.2,33807.2,32408.1,33427.3,33809.1,33647.9,33195.1,34053.7,32993.6,27455.8,33231.7,33984.4,33984.4,27455.8,33757.1,29844.2
Infected,32681.4,33732.5,33927.4,33732.5,33540,33540,33597.3,30112.7,33747.8,33787.9,33169.6,33637.6,34054.1,33371.4,28599.8,32681.4,34040.7,34040.7,28599.8,33693.5,33637.6
Control,31967.55,19692.95,31596.75,29329.65,29329.65,31967.55,32119.35,31967.55,19692.95,29704.65,32947.95,31855.35,32669.25,32624.35,31676.15,31590.95,28060.55,19692.95,32448.85,29351.15,19692.95
Control,32088.45,19449.15,31931.05,29911.65,29911.65,32088.45,32174.45,32088.45,19449.15,28704.25,32727.65,31502.55,31803.15,32583.25,30852.85,31781.05,28818.15,19449.15,31934.35,28704.25,19449.15
Infected,31738.05,19469.25,31003.65,29405.85,29405.85,31248.95,31248.95,31738.05,19469.25,29362.95,32876.55,31770.85,32557.75,32550.15,31248.95,31636.65,27996.65,19469.25,32024.35,28848.55,19469.25
Infected,31961.65,18552.55,31909.05,29993.95,29822.15,31687.85,31687.85,31961.65,18552.55,28972.25,32689.95,31642.35,31824.75,32488.85,31337.65,31524.55,28602.55,18552.55,31896.75,28972.25,18552.55
Control,0,0,0,0,34495.8395,34496.4405,0,34496.2605,34495.1745,34496.4405,0,0,34496.7495,34496.4405,0,34496.3805,0,34496.4405,0,0,34496.1105
Control,0,0,0,0,34495.0625,34496.2795,0,34496.2775,34495.8025,34496.2795,0,0,34496.9635,34496.2795,0,34495.6305,0,34496.2795,0,0,34496.4255
Control,0,0,0,0,34495.9945,34496.3215,0,34496.0455,34496.1355,34496.3095,0,0,34496.6855,34496.3215,0,34496.2985,0,34496.6195,0,0,34495.0415
Control,0,0,0,0,34495.9735,34496.2325,0,34496.5055,34495.7675,34496.2155,0,0,34496.2155,34496.2325,0,34496.2425,0,34496.5275,0,0,34495.0175
Infected,0,0,0,0,34495.9545,34495.6585,0,34496.3585,34495.2315,34496.4315,0,0,34496.1495,34495.6585,0,34496.5855,0,34496.4985,0,0,34496.4985
Infected,0,0,0,0,34496.0005,34495.7185,0,34496.7145,34495.8445,34495.7775,0,0,34495.4835,34495.7185,0,34496.2065,0,34496.6145,0,0,34495.8895
Infected,0,0,0,0,34496.2575,34494.5935,0,34494.5935,34495.8035,34495.8035,0,0,34493.8375,34496.7245,0,34495.8035,0,34496.5295,0,0,34496.4805
Infected,0,0,0,0,34496.2625,34494.6955,0,34494.6955,34495.8455,34496.1555,0,0,34494.1225,34496.4205,0,34495.8455,0,34496.5035,0,0,34496.5155
Infected,0,0,0,0,34495.4845,34496.4975,0,34496.4605,34495.8995,34496.3025,0,0,34493.9275,34496.8055,0,34496.5175,0,34496.8775,0,0,34496.3635
Infected,0,0,0,0,34496.2265,34495.1545,0,34495.1545,34495.7755,34495.9805,0,0,34495.7815,34497.0095,0,34495.7755,0,34496.4055,0,0,34496.3475
Infected,0,0,0,0,34496.6605,34496.0985,0,34496.4345,34496.3835,34496.0955,0,0,34495.3745,34496.9145,0,34496.3835,0,34496.5515,0,0,34496.2935
Infected,0,0,0,0,34495.8345,34496.4375,0,34496.3535,34495.4795,34496.4035,0,0,34496.4035,34496.4465,0,34496.0535,0,34496.2315,0,0,34496.2315
Infected,0,0,0,0,34495.5395,34496.6075,0,34496.5255,34495.9185,34496.3005,0,0,34493.7855,34496.6105,0,34496.5445,0,34496.9065,0,0,34495.9655
Infected,0,0,0,0,34496.4155,34490.0045,0,34496.5755,34496.3165,34496.3915,0,0,34458.0855,34490.0045,0,34496.6465,0,34496.3165,0,0,34493.2145
Infected,0,0,0,0,34496.2345,34495.8875,0,34496.3465,34496.2345,34496.5425,0,0,34494.5375,34497.1925,0,34496.3865,0,34496.8265,0,0,34496.6455
Infected,0,0,0,0,34496.2655,34495.4895,0,34495.9975,34494.5895,34495.4595,0,0,34495.4595,34495.4895,0,34496.5655,0,34496.3825,0,0,34495.5825
Infected,0,0,0,0,34496.3875,34492.2015,0,34495.3135,34495.0325,34496.1915,0,0,34488.0675,34492.2015,0,34496.4055,0,34496.1915,0,0,34496.1935
Infected,0,0,0,0,34496.2305,34496.3295,0,34496.7875,34495.8505,34495.4265,0,0,34496.2905,34496.4925,0,34496.6075,0,34495.8505,0,0,34495.8125
Infected,0,0,0,0,34496.2635,34495.1355,0,34495.1355,34495.6155,34495.9015,0,0,34494.0825,34495.3655,0,34495.9075,0,34496.3795,0,0,34496.3575
Infected,0,0,0,0,34496.2905,34495.1675,0,34495.2125,34495.7715,34495.8425,0,0,34494.0935,34495.1675,0,34495.9015,0,34496.3685,0,0,34496.3475
